condition,n_features,model,BalAcc,AUC,Sens_W,F1_macro
prior_cesd only,1,ElasticNet,0.4745,0.6643,0.2263,0.4563
prior_cesd only,1,XGBoost,0.4818,0.6429,0.0511,0.4152
prior_cesd only,1,LightGBM,0.4915,0.6445,0.0949,0.4418
prior_cesd only,1,SVM,0.455,0.6639,0.0146,0.3722
behaviors only,20,ElasticNet,0.3528,0.5511,0.2555,0.3401
behaviors only,20,XGBoost,0.3893,0.5811,0.3285,0.3896
behaviors only,20,LightGBM,0.3844,0.5707,0.2847,0.3837
behaviors only,20,SVM,0.3236,0.5626,0.1533,0.3123
behaviors + prior_cesd,21,ElasticNet,0.4672,0.6667,0.2336,0.4494
behaviors + prior_cesd,21,XGBoost,0.4745,0.669,0.2482,0.461
behaviors + prior_cesd,21,LightGBM,0.4745,0.66,0.2847,0.4657
behaviors + prior_cesd,21,SVM,0.4428,0.6587,0.2336,0.4288
behavioral lag + pmcesd (39),39,ElasticNet,0.5353,0.7221,0.5109,0.534
behavioral lag + pmcesd (39),39,XGBoost,0.5523,0.7284,0.5401,0.5532
behavioral lag + pmcesd (39),39,LightGBM,0.5572,0.7232,0.5401,0.5581
behavioral lag + pmcesd (39),39,SVM,0.4939,0.6977,0.3504,0.4827
