label,condition,model,n_features,val_AUC,val_BalAcc,val_SensW,test_AUC,test_BalAcc,test_SensW,test_PPVW,mod_sev_detection
sev_crossing,prior_cesd only,ElasticNet,1,0.745,0.62,0.429,0.76,0.68,0.595,0.286,2/8
sev_crossing,prior_cesd only,XGBoost,1,0.872,0.741,0.6,0.872,0.764,0.73,0.229,3/8
sev_crossing,prior_cesd only,LightGBM,1,0.875,0.739,0.6,0.873,0.753,0.73,0.229,3/8
sev_crossing,prior_cesd only,SVM,1,0.87,0.67,0.6,0.874,0.661,0.649,0.194,0/8
sev_crossing,"behav + lag, no prior_cesd (37)",ElasticNet,37,0.602,0.42,0.371,0.531,0.347,0.297,0.107,3/8
sev_crossing,"behav + lag, no prior_cesd (37)",XGBoost,37,0.71,0.361,0.143,0.638,0.376,0.081,0.176,1/8
sev_crossing,"behav + lag, no prior_cesd (37)",LightGBM,37,0.71,0.345,0.086,0.639,0.342,0.027,0.053,0/8
sev_crossing,"behav + lag, no prior_cesd (37)",SVM,37,0.659,0.365,0.114,0.66,0.367,0.081,0.136,0/8
sev_crossing,base (21),ElasticNet,21,0.743,0.662,0.457,0.751,0.591,0.378,0.197,2/8
sev_crossing,base (21),XGBoost,21,0.864,0.708,0.543,0.876,0.718,0.649,0.211,0/8
sev_crossing,base (21),LightGBM,21,0.865,0.73,0.571,0.869,0.737,0.676,0.253,1/8
sev_crossing,base (21),SVM,21,0.735,0.594,0.371,0.783,0.593,0.432,0.151,0/8
sev_crossing,base + behavioral lag (38),ElasticNet,38,0.747,0.643,0.457,0.75,0.593,0.378,0.189,2/8
sev_crossing,base + behavioral lag (38),XGBoost,38,0.869,0.713,0.543,0.875,0.735,0.622,0.232,0/8
sev_crossing,base + behavioral lag (38),LightGBM,38,0.859,0.713,0.6,0.867,0.738,0.676,0.207,0/8
sev_crossing,base + behavioral lag (38),SVM,38,0.75,0.572,0.4,0.779,0.599,0.459,0.173,3/8
sev_crossing,base + behavioral lag + pmcesd (39),ElasticNet,39,0.812,0.704,0.686,0.829,0.691,0.73,0.248,7/8
sev_crossing,base + behavioral lag + pmcesd (39),XGBoost,39,0.904,0.802,0.743,0.906,0.834,0.838,0.356,7/8
sev_crossing,base + behavioral lag + pmcesd (39),LightGBM,39,0.899,0.805,0.771,0.901,0.842,0.865,0.344,7/8
sev_crossing,base + behavioral lag + pmcesd (39),SVM,39,0.798,0.663,0.543,0.841,0.696,0.649,0.304,3/8
personal_sd,prior_cesd only,ElasticNet,1,0.621,0.468,0.14,0.695,0.552,0.22,0.158,N/A
personal_sd,prior_cesd only,XGBoost,1,0.641,0.476,0.32,0.646,0.48,0.268,0.081,N/A
personal_sd,prior_cesd only,LightGBM,1,0.637,0.482,0.16,0.637,0.444,0.122,0.061,N/A
personal_sd,prior_cesd only,SVM,1,0.621,0.463,0.0,0.695,0.522,0.0,0.0,N/A
personal_sd,"behav + lag, no prior_cesd (37)",ElasticNet,37,0.562,0.418,0.38,0.541,0.34,0.244,0.098,N/A
personal_sd,"behav + lag, no prior_cesd (37)",XGBoost,37,0.555,0.375,0.36,0.524,0.357,0.293,0.109,N/A
personal_sd,"behav + lag, no prior_cesd (37)",LightGBM,37,0.558,0.365,0.24,0.555,0.38,0.171,0.14,N/A
personal_sd,"behav + lag, no prior_cesd (37)",SVM,37,0.519,0.304,0.28,0.523,0.36,0.317,0.109,N/A
personal_sd,base (21),ElasticNet,21,0.636,0.473,0.38,0.71,0.561,0.488,0.14,N/A
personal_sd,base (21),XGBoost,21,0.634,0.487,0.22,0.693,0.535,0.244,0.122,N/A
personal_sd,base (21),LightGBM,21,0.629,0.494,0.34,0.664,0.456,0.195,0.078,N/A
personal_sd,base (21),SVM,21,0.625,0.467,0.34,0.716,0.545,0.488,0.148,N/A
personal_sd,base + behavioral lag (38),ElasticNet,38,0.642,0.468,0.4,0.708,0.528,0.415,0.12,N/A
personal_sd,base + behavioral lag (38),XGBoost,38,0.63,0.476,0.32,0.69,0.493,0.244,0.115,N/A
personal_sd,base + behavioral lag (38),LightGBM,38,0.632,0.471,0.28,0.684,0.53,0.268,0.113,N/A
personal_sd,base + behavioral lag (38),SVM,38,0.633,0.468,0.44,0.681,0.513,0.463,0.131,N/A
personal_sd,base + behavioral lag + pmcesd (39),ElasticNet,39,0.719,0.598,0.52,0.759,0.624,0.585,0.175,N/A
personal_sd,base + behavioral lag + pmcesd (39),XGBoost,39,0.74,0.61,0.54,0.75,0.62,0.634,0.166,N/A
personal_sd,base + behavioral lag + pmcesd (39),LightGBM,39,0.743,0.623,0.54,0.731,0.586,0.463,0.145,N/A
personal_sd,base + behavioral lag + pmcesd (39),SVM,39,0.71,0.546,0.42,0.751,0.62,0.61,0.191,N/A
