feature,class,coefficient
prior_cesd,improving,1.7692869018402684
active_day_ratio_delta,improving,0.0
mean_daily_overnight_ratio,improving,0.0
mean_daily_overnight_ratio_delta,improving,-0.04848967491957621
mean_daily_social_ratio,improving,0.028138189388005854
mean_daily_social_ratio_delta,improving,0.0
age,improving,0.0
mean_daily_screens,improving,-0.020986045740931616
mean_daily_screens_delta,improving,0.0
mean_daily_unique_apps,improving,0.0
mean_daily_unique_apps_delta,improving,0.0
mean_daily_switches,improving,0.0
mean_daily_switches_delta,improving,0.0
switches_per_screen,improving,0.0
switches_per_screen_delta,improving,0.0
mean_daily_social_screens,improving,0.008987170279071751
mean_daily_social_screens_delta,improving,0.0
clip_dispersion,improving,0.0
clip_dispersion_delta,improving,0.0
gender_mode_1,improving,0.0
gender_mode_2,improving,0.06530679885756595
lag_active_day_ratio_delta,improving,0.0
lag_mean_daily_overnight_ratio,improving,0.018863642155009703
lag_mean_daily_overnight_ratio_delta,improving,-0.005386853649959592
lag_mean_daily_social_ratio,improving,0.0
lag_mean_daily_social_ratio_delta,improving,0.0
lag_mean_daily_screens,improving,0.0
lag_mean_daily_screens_delta,improving,0.0
lag_mean_daily_unique_apps,improving,0.0
lag_mean_daily_unique_apps_delta,improving,0.0
lag_mean_daily_switches,improving,0.0
lag_mean_daily_switches_delta,improving,0.0
lag_switches_per_screen,improving,0.0
lag_switches_per_screen_delta,improving,-0.02243930864070367
lag_mean_daily_social_screens,improving,0.0
lag_mean_daily_social_screens_delta,improving,0.0
lag_clip_dispersion,improving,0.0
lag_clip_dispersion_delta,improving,0.0
person_mean_cesd,improving,-0.6664401485654928
prior_cesd,stable,0.0
active_day_ratio_delta,stable,0.0
mean_daily_overnight_ratio,stable,0.0
mean_daily_overnight_ratio_delta,stable,0.0
mean_daily_social_ratio,stable,-0.0184199595869264
mean_daily_social_ratio_delta,stable,-0.016873320085108286
age,stable,0.021403444729173736
mean_daily_screens,stable,0.0
mean_daily_screens_delta,stable,0.016401888792644856
mean_daily_unique_apps,stable,0.0
mean_daily_unique_apps_delta,stable,0.0
mean_daily_switches,stable,-0.030553875223453517
mean_daily_switches_delta,stable,0.0
switches_per_screen,stable,0.0
switches_per_screen_delta,stable,0.0
mean_daily_social_screens,stable,0.0
mean_daily_social_screens_delta,stable,0.0
clip_dispersion,stable,0.008885145936509171
clip_dispersion_delta,stable,0.0
gender_mode_1,stable,0.0
gender_mode_2,stable,-0.06151841816218871
lag_active_day_ratio_delta,stable,0.0
lag_mean_daily_overnight_ratio,stable,0.0
lag_mean_daily_overnight_ratio_delta,stable,0.0
lag_mean_daily_social_ratio,stable,0.0
lag_mean_daily_social_ratio_delta,stable,0.0
lag_mean_daily_screens,stable,0.0
lag_mean_daily_screens_delta,stable,0.0
lag_mean_daily_unique_apps,stable,0.0
lag_mean_daily_unique_apps_delta,stable,0.0
lag_mean_daily_switches,stable,0.0
lag_mean_daily_switches_delta,stable,0.0
lag_switches_per_screen,stable,0.0
lag_switches_per_screen_delta,stable,0.0
lag_mean_daily_social_screens,stable,0.0
lag_mean_daily_social_screens_delta,stable,0.041685301202924886
lag_clip_dispersion,stable,0.0
lag_clip_dispersion_delta,stable,-0.03960515123776594
person_mean_cesd,stable,0.0
prior_cesd,worsening,-0.7550206754939597
active_day_ratio_delta,worsening,0.0
mean_daily_overnight_ratio,worsening,0.06351596912640549
mean_daily_overnight_ratio_delta,worsening,0.0
mean_daily_social_ratio,worsening,0.0
mean_daily_social_ratio_delta,worsening,0.0
age,worsening,-0.0021875856842293808
mean_daily_screens,worsening,0.0
mean_daily_screens_delta,worsening,0.0
mean_daily_unique_apps,worsening,0.0
mean_daily_unique_apps_delta,worsening,0.0
mean_daily_switches,worsening,0.0
mean_daily_switches_delta,worsening,0.0
switches_per_screen,worsening,0.021650420693628065
switches_per_screen_delta,worsening,0.0
mean_daily_social_screens,worsening,0.0
mean_daily_social_screens_delta,worsening,0.051489106507290765
clip_dispersion,worsening,-0.002730158502779089
clip_dispersion_delta,worsening,0.0
gender_mode_1,worsening,0.0
gender_mode_2,worsening,0.0
lag_active_day_ratio_delta,worsening,0.017537442057852532
lag_mean_daily_overnight_ratio,worsening,-0.031242344973210604
lag_mean_daily_overnight_ratio_delta,worsening,0.0
lag_mean_daily_social_ratio,worsening,0.0
lag_mean_daily_social_ratio_delta,worsening,0.0
lag_mean_daily_screens,worsening,0.0
lag_mean_daily_screens_delta,worsening,0.0
lag_mean_daily_unique_apps,worsening,0.0
lag_mean_daily_unique_apps_delta,worsening,0.0
lag_mean_daily_switches,worsening,0.0
lag_mean_daily_switches_delta,worsening,0.0
lag_switches_per_screen,worsening,0.021499297064239316
lag_switches_per_screen_delta,worsening,0.0426608158535583
lag_mean_daily_social_screens,worsening,0.0
lag_mean_daily_social_screens_delta,worsening,0.0
lag_clip_dispersion,worsening,-0.021267367469265722
lag_clip_dispersion_delta,worsening,0.0
person_mean_cesd,worsening,1.4183242909267608
