feature,importance
prior_cesd,0.06827144
person_mean_cesd,0.06268238
lag_mean_daily_switches,0.036678452
lag_mean_daily_switches_delta,0.035523754
lag_active_day_ratio_delta,0.034106854
lag_switches_per_screen_delta,0.032639917
lag_mean_daily_social_screens,0.03259706
lag_mean_daily_social_ratio_delta,0.031021047
lag_mean_daily_social_screens_delta,0.02993128
mean_daily_social_screens_delta,0.029927485
mean_daily_switches,0.029240169
lag_switches_per_screen,0.029082492
lag_clip_dispersion,0.027825458
lag_mean_daily_screens,0.027405309
mean_daily_social_ratio,0.027118692
mean_daily_social_screens,0.026974998
lag_mean_daily_overnight_ratio_delta,0.026235564
switches_per_screen_delta,0.025916101
lag_mean_daily_screens_delta,0.024850773
lag_mean_daily_social_ratio,0.0246196
mean_daily_switches_delta,0.024184346
mean_daily_overnight_ratio_delta,0.024076456
mean_daily_unique_apps_delta,0.023687594
clip_dispersion_delta,0.0231516
mean_daily_screens_delta,0.023017159
age,0.02291666
clip_dispersion,0.02145374
mean_daily_overnight_ratio,0.021346765
lag_mean_daily_unique_apps_delta,0.020706197
lag_clip_dispersion_delta,0.019958949
switches_per_screen,0.01879725
mean_daily_screens,0.018636236
lag_mean_daily_unique_apps,0.018303351
mean_daily_social_ratio_delta,0.01826316
mean_daily_unique_apps,0.016083574
lag_mean_daily_overnight_ratio,0.012950144
active_day_ratio_delta,0.009817981
gender_mode_2,0.0
gender_mode_1,0.0
