condition,description,group,best_alpha,best_l1_ratio,n_features,mae_train,rmse_train,within_r2_train,between_r2_train,mae_val,rmse_val,within_r2_val,between_r2_val,mae_test,rmse_test,within_r2_test,between_r2_test,bal_acc_val,auc_ovr_val,sens_w_val,ppv_w_val,bal_acc_test,auc_ovr_test,sens_w_test,ppv_w_test,personal_sd_bal_acc_val,personal_sd_auc_ovr_val,personal_sd_sens_w_val,personal_sd_ppv_w_val,personal_sd_bal_acc_test,personal_sd_auc_ovr_test,personal_sd_sens_w_test,personal_sd_ppv_w_test,balanced_tercile_bal_acc_val,balanced_tercile_auc_ovr_val,balanced_tercile_sens_w_val,balanced_tercile_ppv_w_val,balanced_tercile_bal_acc_test,balanced_tercile_auc_ovr_test,balanced_tercile_sens_w_test,balanced_tercile_ppv_w_test,n_nonzero
pheno_pid,Base + pheno + PID OHE,extra,0.001,0.1,122,3.783938512288123,5.669610776375128,0.373865622124844,0.4908223230084706,3.9205782871757435,5.672621654230346,0.1752974120090961,-1.9536409406747364,4.058926703917925,6.1269877537518775,0.2192141164861806,-0.6728400083178403,0.6145,0.738,0.2571,0.5294,0.5789,0.7228,0.2973,0.55,0.4509,0.7005,0.04,0.2,0.4167,0.7563,0.0488,0.2857,0.5394,0.7058,0.5113,0.5113,0.5207,0.6888,0.5255,0.5255,120
base_lag_pmcesd,Base + lag + person_mean_cesd (39 cols),required,10.0,0.1,39,3.9011614498699396,5.9972987742958415,0.33582247808908433,-0.38004951069083237,3.9238134343541007,5.731631615268827,0.2394881718521118,-1.3407782749285135,4.1265284734137,6.283054257909088,0.18573196243039503,-0.18127982743765525,0.5708,0.7322,0.2,0.6364,0.5397,0.722,0.2432,0.75,0.3742,0.6931,0.0,0.0,0.3846,0.7511,0.0,0.0,0.5419,0.6981,0.5188,0.5188,0.5182,0.6843,0.5182,0.5182,2
pid,Base + ~96 PID one-hot features,extra,0.005,0.99,117,3.7776659595317215,5.644350925042873,0.3899555467579136,0.5976280761869228,3.9267602194779205,5.653781457326683,0.22111379042612733,-2.010056770022824,4.086974793269536,6.148989220433767,0.20375220136712147,-0.8009642330405964,0.6215,0.7375,0.2286,0.5,0.6016,0.7154,0.2973,0.55,0.4672,0.7011,0.04,0.1818,0.4279,0.7551,0.0488,0.25,0.5343,0.7061,0.5113,0.5113,0.4988,0.6833,0.4964,0.4964,101
dev_pid,Base + dev + PID OHE,extra,0.005,0.99,125,3.7798810239102787,5.640783560688549,0.37832943076646824,0.5976714985031942,3.950270026074569,5.683381226960634,0.217049000005629,-2.104970168179665,4.099790237923194,6.164614484609018,0.18450739373591774,-0.8470557770606248,0.631,0.7351,0.2571,0.5,0.6026,0.7151,0.2973,0.5789,0.4558,0.6986,0.04,0.1538,0.4279,0.7547,0.0488,0.25,0.5292,0.7059,0.5038,0.5038,0.5036,0.6831,0.4964,0.4964,107
dev_pheno_pid,Base + dev + pheno + PID OHE,extra,0.005,0.99,130,3.7746214506097373,5.6351884054402195,0.3839604171517656,0.612100730384763,3.9679268729055543,5.699375029576308,0.20383622930338874,-2.1878122599540486,4.097374789729434,6.158881834806844,0.19061393482702338,-0.8552740884789785,0.63,0.7367,0.2571,0.5,0.593,0.7165,0.2973,0.5238,0.4504,0.6982,0.04,0.1111,0.4279,0.7545,0.0488,0.25,0.5343,0.7031,0.5113,0.5113,0.4964,0.6821,0.4964,0.4964,111
prior_cesd,prior_cesd only (1 feature),required,50.0,0.5,1,4.648811898506868,7.339559543178646,0.018576548832532236,-0.04584105033892638,4.288858049673944,6.568311384512891,-0.018209782851069223,-0.11715782228561378,4.584079900898391,7.39031799727546,-0.042171704515853836,-0.04367022641175433,0.4311,0.6444,0.0,0.0,0.403,0.678,0.0,0.0,0.3333,0.5944,0.0,0.0,0.3333,0.6937,0.0,0.0,0.3599,0.6024,0.2857,0.2857,0.4039,0.6603,0.3504,0.3504,1
base,All 21 base features,required,50.0,0.5,21,4.648811898506868,7.339559543178646,0.018576548832532236,-0.04584105033892638,4.288858049673944,6.568311384512891,-0.018209782851069223,-0.11715782228561378,4.584079900898391,7.39031799727546,-0.042171704515853836,-0.04367022641175433,0.4311,0.6444,0.0,0.0,0.403,0.678,0.0,0.0,0.3333,0.5944,0.0,0.0,0.3333,0.6937,0.0,0.0,0.3599,0.6024,0.2857,0.2857,0.4039,0.6603,0.3504,0.3504,1
base_lag,Base + 17 behavioral lag (38 cols),required,50.0,0.5,38,4.648811898506868,7.339559543178646,0.018576548832532236,-0.04584105033892638,4.288858049673944,6.568311384512891,-0.018209782851069223,-0.11715782228561378,4.584079900898391,7.39031799727546,-0.042171704515853836,-0.04367022641175433,0.4311,0.6444,0.0,0.0,0.403,0.678,0.0,0.0,0.3333,0.5944,0.0,0.0,0.3333,0.6937,0.0,0.0,0.3599,0.6024,0.2857,0.2857,0.4039,0.6603,0.3504,0.3504,1
dev,Base + 8 within-person deviation features,extra,50.0,0.5,29,4.648811898506868,7.339559543178646,0.018576548832532236,-0.04584105033892638,4.288858049673944,6.568311384512891,-0.018209782851069223,-0.11715782228561378,4.584079900898391,7.39031799727546,-0.042171704515853836,-0.04367022641175433,0.4311,0.6444,0.0,0.0,0.403,0.678,0.0,0.0,0.3333,0.5944,0.0,0.0,0.3333,0.6937,0.0,0.0,0.3599,0.6024,0.2857,0.2857,0.4039,0.6603,0.3504,0.3504,1
pheno,Base + 5 phenotype features,extra,50.0,0.5,26,4.648811898506868,7.339559543178646,0.018576548832532236,-0.04584105033892638,4.288858049673944,6.568311384512891,-0.018209782851069223,-0.11715782228561378,4.584079900898391,7.39031799727546,-0.042171704515853836,-0.04367022641175433,0.4311,0.6444,0.0,0.0,0.403,0.678,0.0,0.0,0.3333,0.5944,0.0,0.0,0.3333,0.6937,0.0,0.0,0.3599,0.6024,0.2857,0.2857,0.4039,0.6603,0.3504,0.3504,1
dev_pheno,Base + dev + pheno,extra,50.0,0.5,34,4.648811898506868,7.339559543178646,0.018576548832532236,-0.04584105033892638,4.288858049673944,6.568311384512891,-0.018209782851069223,-0.11715782228561378,4.584079900898391,7.39031799727546,-0.042171704515853836,-0.04367022641175433,0.4311,0.6444,0.0,0.0,0.403,0.678,0.0,0.0,0.3333,0.5944,0.0,0.0,0.3333,0.6937,0.0,0.0,0.3599,0.6024,0.2857,0.2857,0.4039,0.6603,0.3504,0.3504,1
