condition,group,n_features,mae_train,mae_val,mae_test,rmse_val,rmse_test,within_r2_val,within_r2_test,between_r2_val,between_r2_test,bal_acc_val,bal_acc_test,auc_ovr_val,auc_ovr_test,sens_w_val,sens_w_test,ppv_w_val,ppv_w_test
pheno_pid,extra,122,3.783938512288123,3.920578287175744,4.058926703917925,5.672621654230346,6.1269877537518775,0.1752974120090961,0.2192141164861806,-1.9536409406747364,-0.6728400083178403,0.6145,0.5789,0.738,0.7228,0.2571,0.2973,0.5294,0.55
base_lag_pmcesd,required,39,3.90116144986994,3.9238134343541007,4.1265284734137,5.731631615268827,6.283054257909088,0.2394881718521118,0.185731962430395,-1.3407782749285135,-0.1812798274376552,0.5708,0.5397,0.7322,0.722,0.2,0.2432,0.6364,0.75
pid,extra,117,3.7776659595317215,3.926760219477921,4.086974793269536,5.653781457326683,6.148989220433767,0.2211137904261273,0.2037522013671214,-2.010056770022824,-0.8009642330405964,0.6215,0.6016,0.7375,0.7154,0.2286,0.2973,0.5,0.55
dev_pid,extra,125,3.779881023910279,3.950270026074569,4.099790237923194,5.683381226960634,6.164614484609018,0.217049000005629,0.1845073937359177,-2.104970168179665,-0.8470557770606248,0.631,0.6026,0.7351,0.7151,0.2571,0.2973,0.5,0.5789
dev_pheno_pid,extra,130,3.774621450609737,3.9679268729055535,4.097374789729434,5.699375029576308,6.158881834806844,0.2038362293033887,0.1906139348270233,-2.1878122599540486,-0.8552740884789785,0.63,0.593,0.7367,0.7165,0.2571,0.2973,0.5,0.5238
prior_cesd,required,1,4.648811898506868,4.288858049673944,4.584079900898391,6.568311384512891,7.39031799727546,-0.0182097828510692,-0.0421717045158538,-0.1171578222856137,-0.0436702264117543,0.4311,0.403,0.6444,0.678,0.0,0.0,0.0,0.0
base,required,21,4.648811898506868,4.288858049673944,4.584079900898391,6.568311384512891,7.39031799727546,-0.0182097828510692,-0.0421717045158538,-0.1171578222856137,-0.0436702264117543,0.4311,0.403,0.6444,0.678,0.0,0.0,0.0,0.0
base_lag,required,38,4.648811898506868,4.288858049673944,4.584079900898391,6.568311384512891,7.39031799727546,-0.0182097828510692,-0.0421717045158538,-0.1171578222856137,-0.0436702264117543,0.4311,0.403,0.6444,0.678,0.0,0.0,0.0,0.0
dev,extra,29,4.648811898506868,4.288858049673944,4.584079900898391,6.568311384512891,7.39031799727546,-0.0182097828510692,-0.0421717045158538,-0.1171578222856137,-0.0436702264117543,0.4311,0.403,0.6444,0.678,0.0,0.0,0.0,0.0
pheno,extra,26,4.648811898506868,4.288858049673944,4.584079900898391,6.568311384512891,7.39031799727546,-0.0182097828510692,-0.0421717045158538,-0.1171578222856137,-0.0436702264117543,0.4311,0.403,0.6444,0.678,0.0,0.0,0.0,0.0
dev_pheno,extra,34,4.648811898506868,4.288858049673944,4.584079900898391,6.568311384512891,7.39031799727546,-0.0182097828510692,-0.0421717045158538,-0.1171578222856137,-0.0436702264117543,0.4311,0.403,0.6444,0.678,0.0,0.0,0.0,0.0
