group,intercept,prior_cesd,mean_daily_social_screens,mean_daily_social_ratio
1017,6.44850825366253,0.12354844251556465,-0.3260443316216711,-6.6839018340949
1030,-5.109586917490159,0.008437746154843785,0.03528260409841835,0.1871067164535746
1111,-4.73316278566672,-0.03754471722079452,0.12757034677328688,0.39764063208561296
1234,1.660626282316869,-0.0897521305823003,0.17074785383221192,0.49677685592439325
1257,-7.344260199137296,-0.00020238866638243704,0.07619079752124287,0.007262025719725229
1261,-7.384084836421504,-0.0942576221829428,0.2730421293329638,0.06027505005501807
1292,-3.134562658474499,-0.06826857416715057,0.17521210110576624,0.36693625858684864
1301,-3.858520575109765,-0.012245785830723792,0.06555526256942633,0.1804376143288338
1389,-6.652348167659054,-0.12919583584816705,0.3378989333340787,-0.7491559909460681
1487,-5.990881985668282,-0.02360517382778371,0.11138135574769083,0.2932592070189792
1490,-1.0796232346036165,0.035176770999744394,-0.06222369151045334,0.1545620644566898
1515,6.194653295391001,-0.048363446516668566,0.03840970303551726,2.2577306610907324
1551,1.5840214835114952,-0.07488147853960025,0.14029447434949513,-0.0674784384276373
1693,-0.1886402022653921,-0.020917021927924592,0.04560299643992483,0.05425819990812946
2044,-2.8947676826903224,-0.009298397161802915,0.04903280983245632,-0.14270100992228585
2122,-0.5436274000568996,-0.005781592358518722,0.018135932122792225,1.9548685464095779
2177,-2.107790215398635,-0.022695884598696724,0.0692634667239273,0.13000837175997085
2204,8.02531929185053,-0.3147124248616985,0.5753458540647812,2.1599743913938987
2298,7.741578676769255,0.25525750225540167,-0.6122611863218335,0.24859417539376152
2403,4.683032435826056,0.017285780021285613,-0.08464935811275312,-0.07946724698537513
2410,7.445033859892648,-0.00041750887846769835,-0.07613610153865454,0.16342068778278573
2456,7.468589600569641,0.024695053169573145,-0.1280142221521572,0.1138978171943566
2591,-1.2271115243815949,-0.06653102086145357,0.15175733464272576,0.18331975355900787
2693,5.292886667870214,0.049086395765778584,-0.15681282143048425,0.6361981472202206
2720,-6.799431295001076,-0.0036622921870406748,0.07765314032146844,-0.43660893115207455
2938,-1.376049281214437,-0.12750915834442542,0.2804988920074767,-0.03479080479581304
3022,-2.4963190936696398,-0.05900538012650173,0.149087609826816,0.18846283068225678
3071,-3.8646995301494664,-0.05189245259754097,0.14838211897626238,0.16393017070052748
3120,-3.856554750550147,-0.004960660942304955,0.0488413450518745,-2.180307378125419
3173,-2.374597295848799,-0.007308540328403964,0.0399697693095227,0.6158739990841812
3309,-2.944967230734723,0.0032131389584774653,0.02379602967049884,0.18008044157055228
3794,6.008301600831744,0.014444844902033863,-0.09241604847949139,-0.2716724015129382
3860,-7.690881866662034,-0.01016180531052552,0.10076426382689702,-0.019987095594115656
4035,-3.3906173452580437,-0.014045969630985037,0.06447089154998789,0.16381269541441484
4140,8.108768078782377,0.09457362677375394,-0.2820488185777415,-0.3713632928598623
4170,2.870146613790268,0.11978587721076568,-0.28115406897864925,-0.967050368009124
4177,-0.8724240150132284,-0.012365219443856705,0.03386771295292172,-0.4563821141891422
4365,-3.4535562443103087,-0.014062301594488251,0.06515582845342284,0.16186831600154558
4406,9.359190925875772,0.18194319291543287,-0.47720588429333355,-0.7806959633889381
4460,-3.8697302222757632,0.03606085551608291,-0.03614696066957604,-1.1014847079294816
4674,9.739341268030493,0.06470136125689518,-0.23345687546555086,4.121018907261301
4694,-5.838810109989502,-0.042203700496087154,0.14852413754838795,-0.3098216713115215
4703,-4.1536739547102846,-0.0019376654822478023,0.04588714846809945,-0.7678274811828003
4770,-0.03814111005610374,-0.1341982664219109,0.28228375069397843,6.560491395294813
5020,-0.4858889104958782,-0.03978406470491338,0.08817982474773096,0.09882382088370414
5178,-6.325542181756177,-0.006394794220216517,0.07887508138751834,0.2665724187283222
5207,-2.7169630195199237,-0.00124772957793301,0.03001117654240068,-1.7219877583726253
5343,9.237608022853967,0.35949660749257506,-0.84704369242719,-1.1596679006720763
5543,-5.561568464906367,-0.01814814893303874,0.09552916024073153,0.26107802012166603
5560,3.7315571813585446,0.017694624992940267,-0.07570107904169271,-0.4841640066242392
5797,-1.974512428056405,0.12001472680076423,-0.23006407573604132,0.2741089865094859
5967,-1.884403321077437,0.3368209792017443,-0.6841513220498732,-1.553218921741323
6230,-6.379488925426221,-0.02402789284391632,0.11592798925677741,-0.18971691802002044
6328,-3.417621093872278,-0.0118873686698849,0.06023990416308664,0.1619568632541652
6515,-1.1564315618913819,-0.032115656344369733,0.07906298461208133,0.015888528794060157
6661,8.43753035536976,0.13161629175599657,-0.36241140689001583,-0.54540281418114
6662,5.695752202394538,0.13856430250705395,-0.3479515421571735,1.4307998364364682
6666,-0.8720610177232628,-0.0007102273772007887,0.010515723780293819,0.03587846712698008
6713,-4.374070215532614,-0.0023100067187048637,0.04969849525050431,-0.7518210948238956
6818,-4.525461399552267,-0.36542578148545873,0.8097189972487737,-1.5351900749989364
6836,1.4623128435198858,-0.057536538805871215,0.10579712735565301,0.7091923510233387
7091,-4.665642592773823,-0.04776736831101139,0.14800793105359872,-0.01921513145814313
7179,-6.815371994973973,-0.07260855243338553,0.22233560487129186,0.4212067097082001
7212,11.62117246571015,0.2534999014700039,-0.6500907285161559,-0.22803104431623722
7264,4.606313461436881,0.0011529192055458768,-0.05011613064584933,-0.18833220958796515
7335,1.7939796721413,-0.21523792388810967,0.43083059033648985,-0.6688945487649858
7383,2.844431370084659,-0.03647933343603168,0.0464566833969564,-1.1099660875645092
7528,1.4314757886423244,-0.08130520165256047,0.1558838049063595,0.376470057430481
7529,1.929153676104763,-0.02510885520962119,0.03246576127268526,-0.09728900570476194
7659,7.563589196067676,0.0033965679966454984,-0.08481299306961307,0.4908136000232524
7724,-3.455444688821177,-0.15198287018760878,0.3531463544047423,-0.4350006639363142
7818,-8.537201963505224,-0.04209338191052184,0.1763936683016581,0.4297721925696188
7999,-7.362948552950286,0.04213195068942956,-0.013526996259993925,-1.6230714094150047
8028,10.122676731638997,0.2475290733155153,-0.6221687792695332,-0.9064555931624309
8067,-2.0110713689316833,0.14518233124541133,-0.2825997646631756,-0.21068884991063438
8107,-1.4624544055269026,-0.007080141533864028,0.029943656814806922,0.0732926728689814
8157,6.425746990512431,-0.11180112428967408,0.16805695682311542,1.4368680049006686
8235,-5.900590760930856,-0.11578155093600453,0.30308712705680374,0.4563757401651486
8243,2.6373675948659985,-0.13297674400887688,0.2514848313563331,0.9835854840355673
8474,-2.58091398772095,0.1559781132594165,-0.29902008815821013,-0.013464019583470765
8513,9.238734015715975,0.18517119980721025,-0.4826778178944148,-0.6543252149134684
8800,2.928541204520121,0.1438677813968875,-0.33101084160868455,-0.4075194444942994
8884,-3.832818574045958,0.03216525018478187,-0.02839730685008971,-1.3524625158858217
8969,-4.722957772115443,-0.020495492681250584,0.091750986446396,0.23403316469006608
9022,-2.413344835172754,-0.020508102904003105,0.06783407140458267,0.09956965493984568
9168,-1.2281254667738948,-0.011864418348939266,0.0372882561063891,-0.402515993499157
9277,3.7807762512902117,-0.08294664420669819,0.13422328860612545,0.07235449762379645
9335,3.9836888038854066,0.03117059391242981,-0.10640404750412634,-0.22354206964353684
9373,-3.6135222879656923,0.005471551390985232,0.02593344331221057,-0.016304382094770586
9389,4.098277407104585,0.0821991156906982,-0.21428677777016436,-0.2992034181055175
9396,0.4877831034659755,-0.044541230388509934,0.08857462027467453,1.0233655683088856
9404,13.160690082187873,-0.1630989889478816,0.20517544547181898,0.8535850631380129
9459,-1.3746353197294043,-0.026644332396777378,0.06990137901142711,0.006656729791794942
9470,-6.885189685408428,-0.008170219076143861,0.08838394715107811,0.2944676384799283
9713,-0.27623274320604896,-0.017351886511772913,0.03889119183724164,-0.37931728507435086
5125520792,2.2327445149890743,0.03608251914650322,-0.09850689932237612,-0.11131689692697314
